/home/zhx/miniconda3/envs/CQL/lib/python3.9/site-packages/gym/utils/passive_env_checker.py:233: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
Episode: 98 | Reward: -472.84943315385345 | Polciy Loss: 116.50313568115234 | Steps: 19600
Episode: 99 | Reward: -471.78269684962567 | Polciy Loss: 104.73860931396484 | Steps: 19800
Episode: 100 | Reward: -237.63505331693696 | Polciy Loss: 113.86244201660156 | Steps: 20000
Episode: 101 | Reward: -502.97748042340464 | Polciy Loss: 109.09349822998047 | Steps: 20200
Episode: 102 | Reward: -472.9639116171191 | Polciy Loss: 89.70147705078125 | Steps: 20400
Episode: 103 | Reward: -368.84741966742473 | Polciy Loss: 99.92988586425781 | Steps: 20600
Episode: 104 | Reward: -242.8142184466093 | Polciy Loss: 102.25330352783203 | Steps: 20800
Episode: 105 | Reward: -123.59520289681731 | Polciy Loss: 104.69921112060547 | Steps: 21000
Episode: 106 | Reward: -0.11864960990716433 | Polciy Loss: 84.94233703613281 | Steps: 21200
Episode: 107 | Reward: -619.7407681925304 | Polciy Loss: 90.8218765258789 | Steps: 21400
Episode: 108 | Reward: -124.7016406311885 | Polciy Loss: 101.51061248779297 | Steps: 21600
Episode: 109 | Reward: -123.95748680774034 | Polciy Loss: 105.87993621826172 | Steps: 21800
Episode: 110 | Reward: -639.3635705920199 | Polciy Loss: 112.39273071289062 | Steps: 22000
Episode: 111 | Reward: -239.55105799576913 | Polciy Loss: 102.2701416015625 | Steps: 22200
Episode: 112 | Reward: -123.60460189618058 | Polciy Loss: 93.17581939697266 | Steps: 22400
Episode: 113 | Reward: -478.43625027258526 | Polciy Loss: 87.72191619873047 | Steps: 22600
Episode: 114 | Reward: -124.62519365291443 | Polciy Loss: 96.13389587402344 | Steps: 22800
Episode: 115 | Reward: -354.4120167110547 | Polciy Loss: 94.24838256835938 | Steps: 23000
Episode: 116 | Reward: -476.46318244237307 | Polciy Loss: 100.48323059082031 | Steps: 23200
Episode: 117 | Reward: -619.905360401882 | Polciy Loss: 96.4979248046875 | Steps: 23400
Episode: 118 | Reward: -236.0945744606091 | Polciy Loss: 93.95032501220703 | Steps: 23600
Episode: 119 | Reward: -122.47756863290293 | Polciy Loss: 83.84713745117188 | Steps: 23800
Episode: 120 | Reward: -234.10690654906466 | Polciy Loss: 92.35333251953125 | Steps: 24000
Episode: 121 | Reward: -360.00055608278734 | Polciy Loss: 91.20390319824219 | Steps: 24200
Episode: 122 | Reward: -485.0518006233022 | Polciy Loss: 102.2945556640625 | Steps: 24400
Episode: 123 | Reward: -121.02546627373836 | Polciy Loss: 81.6103515625 | Steps: 24600
